"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23070","24800","25400","26090","27270","27390","27200","28780","29410","28980","31620","30140","27760","29550","31950","27060","33630","31230","35660","32360","30710","31000","32030","34610","35420","35740","35880","36750","","","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1603.2042801835","1633.51218834872","1543.22609241221","1571.12889134327","1588.6059120943","1685.72866541009","1763.68279163708","1822.30518967257","1824.55357501286","1841.8264769671","1904.29732037533","1960.32016156951","2024.47157852473","2077.04570878968","2195.68914639379","2344.16363224564","2501.53935450073","2676.34986622617","2771.18090454081","2796.63887045198","2907.8751763382","2992.91512697012","2982.14131629567","3096.50649843606","3263.31368346617","3288.86041147241","3368.66645626576","3448.67290100666","3540.1327129903","3589.9560432148","3454.23645997451",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1520","1710","1700","1920","2020","2070","2110","2000","2090","2100","2190","2110",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1587.4478405276","1623.5453738305","1649.1146104974","1599.5924044113","1609.27432041133","1642.73716258388","1715.96732914912","1774.26701015418","1804.67989985774","1838.59594825297","1808.31748696858","1925.95863838782","2085.14380696127","2168.33681564913","2333.37634087546","2494.1198484138","2761.14004139681","2867.44888123622","3013.45725514933","3125.96256384743","3273.45992212511","3410.62032032872","3526.63093165449","3754.31876358433","3975.06907920013","4013.22583196557","3951.22085467029","3965.33365966982","4040.12922879586","4167.62498972404","4066.8786877419",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2990","3310","1630","1490","1260","2350","2420","2830","2820","2640","2790","2910","3380","3470","3780","4310","4730","5350","5580","5840","5950","6130","6810","7130","7680","6960","6730","6860","6550","6370","6020",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","1880","1740","2110","2300","2710","3050","2780","3110","3550","3980","4460","4800","5150","5560","5990","6750","7480","8260","8680","9540","10210","10450","10750","11360","11800","12280","12800","13530","14040","13580",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6979.14445516938","7558.46154072983","7965.4746633482","8200.37213329768","8303.36897448873","8450.91341060644","8711.77089400129","9001.26990709077","9528.87258150742","9592.33055739077","10190.8855911383","10395.2730054061","10244.4797279991","10623.091619165","11690.8660821507","12348.5484302402","13274.0173492468","14002.1558183703","14723.9080368686","14526.2473964075","14942.9647499143","15370.426352118","16398.9815261767","16373.5871524602","16126.459204456","14516.3827851168","14048.6186560898","14572.5268134345","14907.5887719199","15109.6398764943","14476.7031555569",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103160","101460","96350","99190","102360","99230","97720","89930","80690","68870","64860","67710","69160","70460","73740","65220","64340","67670","68810","70300","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6880","7760","8560","9410","10030","9790","10370","11260","11650","11280","11310","10900","9540","10580","10860","12030","14460","16130","16970","15830","17440","18770","19150","19650","19250","19700","19860","23000","22470","22080","20210",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2670","2550","1290","1480","1630","1870","2050","2240","2390","2510","2740","3090","3580","4180","4810","5680","6720","7960","8790","7530","7880","8310","9740","10440","10490","10370","10950","12540","13250","14470","13080",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10480","11300","11580","12440","13240","12630","13490","14290","14880","15320","15940","15670","15530","16670","17800","19440","22240","24590","24550","21510","20110","19720","18950","18180","18110","17720","18570","18780","20490","21030","18610",
